Neighbourhood,Latitude,Longitude
Anting,31.29890000000006,121.15760000000012
Changshou Road Subdistrict,30.916040000000066,121.15409000000011
Fengjing,31.116700000000037,121.12902000000008
"Gaoqiao, Shanghai",31.22222000000005,121.45806000000005
"Gubei, Shanghai",31.22222000000005,121.45806000000005
"Koreatown, Shanghai",31.22222000000005,121.45806000000005
Lujiazui,30.79141000000004,121.34888000000001
"Luodian, Shanghai",31.22222000000005,121.45806000000005
Nanxiang,31.29979000000003,121.31180000000006
Qiantan International Business Zone (Shanghai),31.22222000000005,121.45806000000005
Qibao,31.152670000000057,121.35688000000005
Songjiang Town,31.03595000000007,121.21460000000002
Tianzifang,31.22222000000005,121.45806000000005
Wusong,31.37566000000004,121.49041000000011
Xintiandi,31.024740000000065,121.67880000000002
"Xinzhuang, Shanghai",30.946420000000046,121.0098200000001
Xujiahui,31.190000000000055,121.43194000000005
Zhangjiang Town,31.20861000000008,121.60889000000009
Zhujiajiao,31.107570000000067,121.05696000000012
"Baoshan District, Shanghai",31.22222000000005,121.45806000000005
Changning District,31.217390000000023,121.42105000000004
Chongming District,31.63318000000004,121.46795000000009
Hongkou District,31.250000000000057,121.48917000000006
"Huangpu District, Shanghai",31.22222000000005,121.45806000000005
Jing'an District,31.220000000000027,121.41583000000003
Minhang District,31.10880000000003,121.37472000000002
Pudong,31.235130000000026,121.52759000000003
"Putuo District, Shanghai",31.22222000000005,121.45806000000005
Qingpu District,31.153940000000034,121.11408000000006
Xuhui District,31.195940000000064,121.44709000000012
Yangpu District,31.261930000000064,121.51904000000002
Chuansha County,31.477130000000045,121.36461000000008
Fengxian District,30.833810000000028,121.52128000000005
Jiading District,31.366370000000074,121.22153000000003
Jinshan District,30.920250000000067,121.25199000000009
Luwan District,31.20908000000003,121.4633500000001
Nanhui District,31.031880000000058,121.75906000000009
"Nanshi District, Shanghai",31.22222000000005,121.45806000000005
Shanghai County,31.100270000000023,121.38565000000006
Songjiang District,31.03595000000007,121.21460000000002
Zhabei,31.258610000000033,121.45972000000006
